timestamp,value1,value2,value3
2020-10-01T00:00:00Z,4,4.0,4.0
2020-10-02T00:00:00Z,3,3.5,3.5
2020-10-03T00:00:00Z,4,3.6666666666666665,3.6666666666666665
2020-10-04T00:00:00Z,5,4.0,4.0
2020-10-05T00:00:00Z,3,3.8,3.8
2020-10-06T00:00:00Z,3,3.6666666666666665,3.6666666666666665
2020-10-07T00:00:00Z,2,3.4285714285714284,3.4285714285714284
2020-10-08T00:00:00Z,3,3.375,3.375
2020-10-09T00:00:00Z,3,3.3333333333333335,3.3333333333333335
2020-10-10T00:00:00Z,2,3.2,3.2
2020-10-11T00:00:00Z,3,3.1818181818181817,3.1818181818181817
2020-10-12T00:00:00Z,4,3.25,3.25
2020-10-13T00:00:00Z,2,3.1538461538461537,3.1538461538461537
2020-10-14T00:00:00Z,3,3.142857142857143,3.142857142857143
2020-10-15T00:00:00Z,3,3.1333333333333333,3.1333333333333333
2020-10-16T00:00:00Z,2,3.0625,3.0625
2020-10-17T00:00:00Z,2,3.0,3.0
2020-10-19T00:00:00Z,3,3.0,3.0
2020-10-20T00:00:00Z,4,3.0526315789473686,3.0526315789473686
2020-10-21T00:00:00Z,3,3.05,3.05
2020-10-22T00:00:00Z,3,3.0476190476190474,3.0476190476190474
2020-10-23T00:00:00Z,3,3.0454545454545454,3.0454545454545454
2020-10-24T00:00:00Z,3,3.0434782608695654,3.0434782608695654
2020-10-25T00:00:00Z,1,2.9583333333333335,2.9583333333333335
2020-10-26T00:00:00Z,3,2.96,2.96
2020-10-27T00:00:00Z,3,2.9615384615384617,2.9615384615384617
2020-10-28T00:00:00Z,3,2.962962962962963,2.962962962962963
2020-10-29T00:00:00Z,2,2.9285714285714284,2.9285714285714284
2020-10-30T00:00:00Z,3,2.9310344827586206,2.9310344827586206
2020-10-31T00:00:00Z,1,2.8666666666666667,2.8666666666666667
2020-11-02T00:00:00Z,2,2.8,2.838709677419355
2020-11-04T00:00:00Z,2,2.7666666666666666,2.8125
2020-11-05T00:00:00Z,3,2.7333333333333334,2.8181818181818183
2020-11-06T00:00:00Z,4,2.7,2.8529411764705883
2020-11-07T00:00:00Z,2,2.6666666666666665,2.8285714285714287
2020-11-08T00:00:00Z,2,2.6333333333333333,2.8055555555555554
2020-11-09T00:00:00Z,1,2.6,2.7567567567567566
2020-11-10T00:00:00Z,2,2.566666666666667,2.736842105263158
2020-11-11T00:00:00Z,3,2.566666666666667,2.7435897435897436
2020-11-12T00:00:00Z,3,2.6,2.75
2020-11-13T00:00:00Z,4,2.6333333333333333,2.7804878048780486
2020-11-14T00:00:00Z,2,2.566666666666667,2.761904761904762
2020-11-15T00:00:00Z,3,2.6,2.7674418604651163
2020-11-16T00:00:00Z,4,2.6333333333333333,2.7954545454545454
2020-11-17T00:00:00Z,3,2.6333333333333333,2.8
2020-11-18T00:00:00Z,3,2.6666666666666665,2.8043478260869565
2020-11-19T00:00:00Z,2,2.6666666666666665,2.7872340425531914
2020-11-20T00:00:00Z,1,2.6,2.75
2020-11-21T00:00:00Z,1,2.5,2.7142857142857144
2020-11-22T00:00:00Z,3,2.5,2.72
2020-11-23T00:00:00Z,3,2.5,2.7254901960784315
2020-11-24T00:00:00Z,2,2.466666666666667,2.7115384615384617
2020-11-25T00:00:00Z,3,2.466666666666667,2.7169811320754715
2020-11-26T00:00:00Z,4,2.566666666666667,2.740740740740741
2020-11-27T00:00:00Z,3,2.566666666666667,2.7454545454545456
2020-11-28T00:00:00Z,2,2.533333333333333,2.732142857142857
2020-11-29T00:00:00Z,1,2.466666666666667,2.7017543859649122
2020-11-30T00:00:00Z,3,2.5,2.706896551724138
2020-12-01T00:00:00Z,2,2.466666666666667,2.694915254237288
2020-12-02T00:00:00Z,3,2.533333333333333,2.7
2020-12-03T00:00:00Z,2,2.533333333333333,2.6885245901639343
2020-12-04T00:00:00Z,4,2.6,2.7096774193548385
2020-12-05T00:00:00Z,1,2.533333333333333,2.6825396825396823
2020-12-06T00:00:00Z,2,2.466666666666667,2.671875
2020-12-07T00:00:00Z,4,2.533333333333333,2.6923076923076925
2020-12-08T00:00:00Z,1,2.5,2.6666666666666665
2020-12-09T00:00:00Z,3,2.566666666666667,2.671641791044776
2020-12-10T00:00:00Z,3,2.6,2.676470588235294
2020-12-11T00:00:00Z,3,2.6,2.681159420289855
2020-12-12T00:00:00Z,3,2.6,2.6857142857142855
2020-12-13T00:00:00Z,3,2.566666666666667,2.6901408450704225
2020-12-14T00:00:00Z,3,2.6,2.6944444444444446
2020-12-15T00:00:00Z,5,2.6666666666666665,2.7260273972602738
2020-12-16T00:00:00Z,5,2.7,2.7567567567567566
2020-12-17T00:00:00Z,5,2.7666666666666666,2.7866666666666666
2020-12-18T00:00:00Z,3,2.7666666666666666,2.789473684210526
2020-12-19T00:00:00Z,5,2.8666666666666667,2.8181818181818183
2020-12-20T00:00:00Z,3,2.933333333333333,2.8205128205128207
2020-12-21T00:00:00Z,3,3.0,2.8227848101265822
2020-12-22T00:00:00Z,2,2.966666666666667,2.8125
2020-12-23T00:00:00Z,4,3.0,2.8271604938271606
2020-12-24T00:00:00Z,4,3.066666666666667,2.841463414634146
2020-12-25T00:00:00Z,5,3.1333333333333333,2.8674698795180724
2020-12-26T00:00:00Z,5,3.1666666666666665,2.892857142857143
2020-12-27T00:00:00Z,5,3.2333333333333334,2.9176470588235293
2020-12-28T00:00:00Z,5,3.3333333333333335,2.941860465116279
2020-12-29T00:00:00Z,4,3.433333333333333,2.954022988505747
2020-12-30T00:00:00Z,5,3.5,2.977272727272727
