timestamp,value1,value2,value3
2020-11-24T00:00:00Z,18663.081871148537,15536.091628900209,13673.925379534627
2020-11-25T00:00:00Z,19041.090766650996,15737.139600431716,13769.767618590276
2020-11-26T00:00:00Z,17953.227180591002,15895.104756170533,13843.161645993796
2020-11-27T00:00:00Z,17045.363466394745,16013.380420276166,13898.372022207606
2020-11-28T00:00:00Z,17191.069471309216,16143.922473331662,13954.18045354831
2020-11-29T00:00:00Z,17864.280738678084,16292.621920462345,14019.348791633807
2020-11-30T00:00:00Z,18582.90227100131,16458.388632165363,14094.161143754585
2020-12-01T00:00:00Z,19420.423364055336,16649.374964964984,14180.068598920727
2020-12-02T00:00:00Z,18912.84724662885,16827.65239769145,14255.19206951927
2020-12-03T00:00:00Z,19231.092677734145,17017.65189379311,14332.940516522625
2020-12-04T00:00:00Z,19255.94059504866,17196.70443539993,14408.67897926918
2020-12-05T00:00:00Z,18879.47306364744,17345.29799667469,14476.418283577941
2020-12-06T00:00:00Z,19146.160401601122,17464.798408711264,14546.115927130526
2020-12-07T00:00:00Z,19260.262153389627,17593.572633996464,14615.441606928454
2020-12-08T00:00:00Z,19043.457938328243,17727.799959203552,14679.615756658886
2020-12-09T00:00:00Z,18294.64310304469,17824.544061897086,14731.259004464398
2020-12-10T00:00:00Z,18406.936325289702,17928.326109797286,14783.029107574614
2020-12-11T00:00:00Z,18077.519221446633,18017.531988231098,14828.785914711725
2020-12-12T00:00:00Z,18300.20785385046,18102.155489601733,14876.339639905407
2020-12-13T00:00:00Z,18984.619051364443,18193.916842914372,14931.856929249449
2020-12-14T00:00:00Z,19166.295795115766,18295.97671115572,14988.316114127667
2020-12-15T00:00:00Z,19316.503769850387,18407.604555967053,15045.265951702966
2020-12-16T00:00:00Z,19802.55319034353,18529.501242678823,15107.048902854141
2020-12-17T00:00:00Z,22051.459402928227,18701.671459874935,15196.079806701244
2020-12-18T00:00:00Z,22845.628796143938,18871.9368440283,15292.909540744822
2020-12-19T00:00:00Z,23166.78307525683,19050.8928489886,15391.332959926222
2020-12-20T00:00:00Z,23703.83057151828,19238.426579680316,15493.956387229828
2020-12-21T00:00:00Z,23356.336707790575,19395.716697432923,15589.839074065934
2020-12-22T00:00:00Z,22982.090711301335,19545.413246216318,15678.902346803712
2020-12-23T00:00:00Z,23656.14617563685,19720.074231902967,15773.869535242202
2020-12-24T00:00:00Z,23240.8032624202,19872.664944945358,15861.715814385472
2020-12-25T00:00:00Z,23904.551839929747,20034.78031405465,15955.237163519709
2020-12-26T00:00:00Z,25028.17594327996,20270.611939477618,16059.52381616063
2020-12-27T00:00:00Z,26793.679811954134,20595.55581766293,16181.502861567373
2020-12-28T00:00:00Z,26674.742169752935,20911.67824094439,16299.404426827885
2020-12-29T00:00:00Z,26848.873581061016,21211.164669023823,16416.620750763806
2020-12-30T00:00:00Z,27756.491078834297,21516.95096261826,16605.413114249495
2020-12-31T00:00:00Z,28848.486880656896,21831.219746504976,16808.529818834817
2021-01-01T00:00:00Z,29135.16449153549,22171.963654668532,17014.8863031088
2021-01-02T00:00:00Z,30185.11892708261,22537.09786298015,17232.62491930538
2021-01-03T00:00:00Z,32937.53674187289,22993.15106787429,17479.75721616155
2021-01-04T00:00:00Z,32420.816779121313,23444.52919172342,17720.604175306617
2021-01-05T00:00:00Z,31895.08240667634,23869.49325855926,17956.993351412242
2021-01-06T00:00:00Z,34551.283828935666,24379.193981077464,18221.86369596106
2021-01-07T00:00:00Z,37549.343428330874,24996.056830744215,18517.473181997208
2021-01-08T00:00:00Z,39609.0432228986,25706.536834739345,18832.94526646675
2021-01-09T00:00:00Z,40477.603440766485,26442.22573858857,19156.82692820832
2021-01-10T00:00:00Z,40008.62166466172,27173.26248669574,19474.464728855433
2021-01-11T00:00:00Z,35916.73013098233,27760.479895933473,19745.8517417636
2021-01-12T00:00:00Z,35114.26255618183,28298.134679427385,20009.148347467326
2021-01-13T00:00:00Z,34314.790834217856,28803.084514064125,20263.609458907547
2021-01-14T00:00:00Z,38036.45969318741,29427.083044842024,20559.448850135665
2021-01-15T00:00:00Z,38179.11988090942,30039.63526786089,20857.894368144043
2021-01-16T00:00:00Z,36812.04194474669,30531.654685921505,21140.27231578651
2021-01-17T00:00:00Z,35902.186613558035,30966.87327983531,21410.992433706477
2021-01-18T00:00:00Z,35846.181239691425,31389.51988531646,21678.75875362829
2021-01-19T00:00:00Z,36842.612244404714,31827.479274412675,21952.259692239964
2021-01-20T00:00:00Z,35515.772127441225,32232.793788401028,22203.82497124519
2021-01-21T00:00:00Z,34048.36323148805,32601.669539073922,22438.385799205877
2021-01-22T00:00:00Z,31412.393937256526,32860.211131127915,22643.32135176344
2021-01-23T00:00:00Z,32609.639243025107,33172.50566381474,22860.420745886742
2021-01-24T00:00:00Z,32158.57228499985,33447.63967865041,23073.18653104556
2021-01-25T00:00:00Z,32954.37169257258,33711.84620362683,23292.52096642496
2021-01-26T00:00:00Z,32111.092276981235,33889.0932857944,23499.3431745778
2021-01-27T00:00:00Z,31674.808485585865,34055.76216298883,23703.787625754925
2021-01-28T00:00:00Z,31219.508286581335,34201.44998650617,23901.745525330745
2021-01-29T00:00:00Z,34215.71721385863,34416.75752434032,24130.699039707943
2021-01-30T00:00:00Z,34087.421311391285,34591.38867203147,24357.32779450044
2021-01-31T00:00:00Z,33753.07862288771,34745.31914307654,24581.645065145472
2021-02-01T00:00:00Z,33485.1946459062,34855.32166703733,24803.357141270164
2021-02-02T00:00:00Z,34267.008054767335,34899.637377467145,25029.830960247087
2021-02-03T00:00:00Z,36154.647206196125,35024.09839170297,25271.308526700326
2021-02-04T00:00:00Z,37536.93957124045,35212.16029718844,25515.483988152955
2021-02-05T00:00:00Z,37286.36354416057,35303.329621029276,25758.698745367696
2021-02-06T00:00:00Z,39118.1799612806,35355.624172127595,26026.493654025082
2021-02-07T00:00:00Z,38949.270660199065,35333.631753370944,26288.237550002425
2021-02-08T00:00:00Z,40275.97139719387,35326.91068525185,26565.820844545873
2021-02-09T00:00:00Z,46473.36562138474,35542.40215047596,26911.065541800897
2021-02-10T00:00:00Z,46044.11423165604,35879.981620498416,27247.539002011174
2021-02-11T00:00:00Z,45648.28930540547,36231.11584547254,27574.389122604734
2021-02-12T00:00:00Z,47606.41382041488,36674.169945012436,27924.410390077395
2021-02-13T00:00:00Z,47314.0348685236,36983.42245085698,28272.703350555323
2021-02-14T00:00:00Z,47924.41397516099,37308.26558733204,28625.80069929055
2021-02-15T00:00:00Z,48080.77071505176,37683.889879675546,28972.405341823964
2021-02-16T00:00:00Z,48423.17531256479,38101.25616964243,29313.35543116865
2021-02-17T00:00:00Z,49276.62495807246,38548.937626921805,29663.11678707559
2021-02-18T00:00:00Z,52023.46638219998,39054.96609818165,30040.29065075818
2021-02-19T00:00:00Z,52448.44618574148,39619.38856679166,30415.96635087517
2021-02-20T00:00:00Z,56001.91654866556,40351.17367736425,30832.752154218128
2021-02-21T00:00:00Z,56652.280455314554,41192.50322796618,31257.59619699898
2021-02-22T00:00:00Z,55871.83802692577,41967.90985409621,31671.026820952062
2021-02-23T00:00:00Z,51019.0330792236,42596.59188057033,32026.337291091757
2021-02-24T00:00:00Z,49282.76249266464,43140.87157390674,32374.44323900369
2021-02-25T00:00:00Z,49907.99623210112,43734.10170574407,32739.583603067094
2021-02-26T00:00:00Z,46901.963946248565,44241.673554432826,33069.70465278864
2021-02-27T00:00:00Z,46839.506410976406,44762.340158579325,33391.65160470306
2021-02-28T00:00:00Z,45434.950833795076,45136.31461257721,33690.00769984522
2021-03-01T00:00:00Z,46599.37667247757,45553.37979128009,33991.996069938796
2021-03-02T00:00:00Z,49106.58687077651,46065.163399543046,34327.48206576266
2021-03-03T00:00:00Z,49671.89855747204,46604.72019659525,34665.71324220419
2021-03-04T00:00:00Z,49880.39617354259,47125.16646722109,35005.98497085412
2021-03-05T00:00:00Z,48042.19807035375,47521.418162693015,35330.01524870642
2021-03-06T00:00:00Z,48685.76175951898,47893.04556896896,35658.23304157217
2021-03-07T00:00:00Z,49745.5215628945,48308.3508362601,35996.958146122226
2021-03-08T00:00:00Z,51047.42379418671,48705.99229735696,36352.55776674287
2021-03-09T00:00:00Z,53291.76411186773,49184.07541241259,36741.41466684091
2021-03-10T00:00:00Z,55016.73635160867,49675.43424422642,37148.1902226889
2021-03-11T00:00:00Z,56230.72008706287,50000.679393082355,37572.114676751306
2021-03-12T00:00:00Z,57265.99207293043,50374.741987791494,38005.06783474109
2021-03-13T00:00:00Z,58233.173057716645,50794.23811286853,38441.16287925611
2021-03-14T00:00:00Z,60762.96767951021,51232.78990817171,38903.34812241606
2021-03-15T00:00:00Z,58414.74572974628,51602.813603545794,39337.77303308156
2021-03-16T00:00:00Z,55627.353295532645,51859.57824755819,39735.826367583664
2021-03-17T00:00:00Z,56422.63688871991,52137.64045334712,40117.72833964802
2021-03-18T00:00:00Z,58677.42309261597,52479.44871268216,40515.8593873866
2021-03-19T00:00:00Z,57926.25404761913,52767.76968233372,40902.07573152395
2021-03-20T00:00:00Z,58799.99816779103,52993.65407518675,41292.03314926032
2021-03-21T00:00:00Z,57783.69742156779,53171.49578304763,41674.559379413404
2021-03-22T00:00:00Z,57241.13559996361,53212.80308475756,42055.21543373188
2021-03-23T00:00:00Z,54661.34161333809,53146.43845669168,42399.71760526189
2021-03-24T00:00:00Z,55024.84241827718,53118.205269736725,42752.87359588252
2021-03-25T00:00:00Z,52439.52831430214,53165.55511090601,43069.92889004222
2021-03-26T00:00:00Z,52592.26896892129,53275.8719934479,43376.19659032712
2021-03-27T00:00:00Z,55145.58521097273,53450.45829274362,43691.21776142733
2021-03-28T00:00:00Z,55995.57738281209,53753.57874062906,44017.004819350215
2021-03-29T00:00:00Z,56551.85029385593,54077.323536725045,44347.037893936824
2021-03-30T00:00:00Z,58157.89717489961,54501.4217480952,44684.83129500422
2021-03-31T00:00:00Z,58819.14903583471,54908.74749354044,45017.838652283965
2021-04-01T00:00:00Z,59013.81959218573,55238.98858425408,45349.82370895786
2021-04-02T00:00:00Z,59278.8589626824,55559.220597761094,45673.08748713119
2021-04-03T00:00:00Z,59182.11986026791,55869.278053985276,45964.69396622447
2021-04-04T00:00:00Z,57757.31995885072,56193.1154502685,46246.210668221465
2021-04-05T00:00:00Z,58220.44923051221,56510.93836596828,46538.71474404186
2021-04-06T00:00:00Z,58507.46905655232,56803.00328242353,46804.89457990427
2021-04-07T00:00:00Z,57413.838843069076,57015.21711738628,47025.61119562358
2021-04-08T00:00:00Z,56847.1843634052,57133.731125770864,47217.14609718477
2021-04-09T00:00:00Z,58248.477813910285,57241.45584118091,47414.60025688638
2021-04-10T00:00:00Z,59238.95501024669,57341.73033862038,47628.27062739287
2021-04-11T00:00:00Z,59862.31966383736,57428.27459165061,47894.33273331348
2021-04-12T00:00:00Z,60094.89317690325,57490.33192895683,48171.895295765935
2021-04-13T00:00:00Z,61278.05189620137,57507.501402846545,48471.48708534353
2021-04-14T00:00:00Z,63526.67993046683,57677.89920953723,48754.711754646625
2021-04-15T00:00:00Z,63019.058326253,57924.289377227906,49030.711070706006
2021-04-16T00:00:00Z,62367.12154793066,58122.438865868266,49314.65639963027
2021-04-17T00:00:00Z,61561.66934904712,58218.5804077493,49599.76176335793
2021-04-18T00:00:00Z,60349.3703153069,58299.35095000556,49872.019419753655
